Test_ID,Dataset_Name,Prompt_Type,Description_Source,Description_Text,Related_Profile_JSON,Completeness_Score,Conciseness_Score,Readability_Score,Raw_Scores_JSON,Evaluation_Date,Reference_Description,rouge1_f,rouge2_f,rougeL_f,bertscore_p,bertscore_r,bertscore_f1,coverage_final,coverage_concept,coverage_concept_soft,coverage_keyword,coverage_numbers_combo,coverage_year,coverage_number,coverage_unit,coverage_field,coverage_dimension,penalty_repetition,penalty_hallucinated_numbers,coverage_bertscore_r,concept_thresh,keyword_top_k
Vanilla_AutoDDG-201009,The FluPRINT database,,Vanilla_AutoDDG,"This dataset contains information about immune cell analysis or cytokine profiling from various donors. The data includes demographic information such as donor ID, study ID, gender, and race, as well as visit details like visit year, day, type, age, CMV status, EBV status, BMI, vaccine history, and influenza infection history. Additionally, the dataset contains measurements of immune cell subsets, cytokine levels, and other related data. The semantic profile indicates that the data is primarily used for measurement and aggregation purposes, with some categorization and classification involved. This dataset can be used to analyze immune responses, identify patterns in cytokine profiles, and investigate the effects of vaccines and infections on the immune system.",,9,8,9,"{""completeness"": 9, ""conciseness"": 8, ""readability"": 9}",2025-12-02 20:10:09,"The FluPRINT represents fully integrated and normalized immunology measurements from eight clinical studies taken from 740 individuals undergoing influenza vaccination with inactivated or live attenuated seasonal influenza vaccines from 2007 to 2015 at the Stanford Human Immune Monitoring Center. The FluPRINT dataset contains information on more than 3,000 parameters measured using mass cytometry, flow cytometry, phosphorylation-specific cytometry, multiplex cytokine assays, clinical lab tests (hormones and complete blood count), serological profiling and virological tests. In the dataset, vaccine protection is measured using a hemagglutination inhibition (HAI) assay, and following FDA guidelines individuals are marked as high or low responders depending on the HAI antibody titers after vaccination.",0.2909090909090909,0.0458715596330275,0.1636363636363636,0.2161721438169479,0.1532239317893982,0.1871967166662216,0.2818947863578797,0.0,0.5190296769142151,0.175,0.3333333333333333,0.0,0.0,1.0,1.0,0.75,0.0,0.0,0.1532239317893982,0.7,40
Augmented_AutoDDG-201016,The FluPRINT database,V1_Revised,Augmented_AutoDDG,"This dataset contains immune cell analysis data related to ""Immune Checkpoint Inhibitor (ICI) associated myocarditis"" research. It includes information on the characteristics of T cells involved in this condition, such as their cytotoxic activity and clonal expansion. The dataset also provides insights into the temporal dynamics of immune responses, including changes in transcriptomic profiles over time. This data can be used to investigate the mechanisms underlying ICI-associated myocarditis and to identify potential biomarkers for diagnosis or treatment. The study's findings suggest that T cells involved in this condition exhibit a cytotoxic phenotype initially, followed by a transition to an exhaustion phenotype.","{""summary"": ""This is a research article that explores the immune response in patients with Immune Checkpoint Inhibitor (ICI) associated myocarditis. The study uses single-cell RNA sequencing and clonal analysis to investigate the characteristics of T cells involved in this condition.\n\nHere's a summary of the main findings:\n\n1. **Characterization of T cells**: The study found that T cells involved in ICI-associated myocarditis are predominantly CD8+ (Temra) T cells, which are known for their cytotoxic activity.\n2. **Clonal expansion**: The researchers identified clonally expanded T cell populations in patients with myocarditis, suggesting a specific immune response to the tumor or other antigens.\n3. **Transcriptomic changes over time**: By analyzing peripheral blood mononuclear cells from one patient at early and late time points, the study found that the transcriptomic profile of these expanded T cells changed over time. Initially, they expressed high levels of cytotoxicity markers (e.g., GZMB, KLRK1) and homing-associated chemokine genes (CCL5, CCL4). However, by the late time point, these markers decreased, while T-cell exhaustion markers (e.g., CX3CR1, LAG3) increased.\n4. **Functional interactions**: The researchers used ligand-receptor analysis to investigate functional interactions between the myocarditis-associated T cells and other immune cell types. They found that these T cells interact with other immune cells through cardiotropic chemokines (e.g., CCL5, CCL4), which are involved in recruiting inflammatory cells to the heart.\n\nThe study's findings suggest that:\n\n1. **Early cytotoxic phenotype**: The expanded T cells initially exhibit a cytotoxic phenotype, characterized by high expression of cytotoxicity markers and homing-associated chemokine genes.\n2. **Transition to exhaustion phenotype**: Over time, these cells transition to an exhaustion phenotype, characterized by increased expression of T-cell exhaustion markers and decreased expression of cytotoxicity/homing genes.\n3. **Cardiotropic interactions**: The myocarditis-associated T cells interact with other immune cell types through cardiotropic chemokines, which may contribute to the recruitment of inflammatory cells to the heart.\n\nThese findings provide new insights into the immune mechanisms underlying ICI-associated myocarditis and highlight the importance of understanding the temporal dynamics of immune responses in this condition."", ""dataset_name"": ""The FluPRINT database"", ""source_length"": 40529}",9,8,9,"{""completeness"": 9, ""conciseness"": 8, ""readability"": 9}",2025-12-02 20:10:16,"The FluPRINT represents fully integrated and normalized immunology measurements from eight clinical studies taken from 740 individuals undergoing influenza vaccination with inactivated or live attenuated seasonal influenza vaccines from 2007 to 2015 at the Stanford Human Immune Monitoring Center. The FluPRINT dataset contains information on more than 3,000 parameters measured using mass cytometry, flow cytometry, phosphorylation-specific cytometry, multiplex cytokine assays, clinical lab tests (hormones and complete blood count), serological profiling and virological tests. In the dataset, vaccine protection is measured using a hemagglutination inhibition (HAI) assay, and following FDA guidelines individuals are marked as high or low responders depending on the HAI antibody titers after vaccination.",0.2085308056872037,0.0382775119617224,0.1042654028436018,0.1626770049333572,0.1290452182292938,0.1490662992000579,0.24080904364585876,0.0,0.390695184469223,0.1,0.3333333333333333,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.1290452182292938,0.7,40
Augmented_AutoDDG-201023,The FluPRINT database,V2_Hybrid,Augmented_AutoDDG,"This dataset contains information related to immune cell analysis and cytokine profiling, specifically focusing on the immune response to immunotherapy (ICI) in patients with myocarditis. The data includes demographic information, medical history, and laboratory results, such as single-cell RNA sequencing transcriptomes of T cells from these patients. The semantic profile indicates that the dataset is primarily used for measurement and aggregation purposes, with a focus on identifying patterns and relationships between different immune cell types and their interactions. This dataset can be used to investigate the complex dynamics of the immune response in patients with myocarditis who have received ICI, including the early cytotoxic phenotype and late exhaustion phenotype of T cells.","{""summary"": ""This is a long and complex scientific article about the immune response to immunotherapy (ICI) in patients with myocarditis. I'll try to summarize the main points:\n\n**Introduction**\n\nThe authors investigate the immune response in patients with myocarditis who have received immunotherapy (ICI). They use single-cell RNA sequencing to analyze the transcriptome of T cells from these patients.\n\n**Results**\n\n1. **Early cytotoxic phenotype**: The authors identify a subset of T cells, known as Temra CD8+ cells, that are expanded and activated in patients with myocarditis. These cells exhibit an early cytotoxic phenotype, characterized by high expression of genes involved in cell killing (e.g., GZMB, KLRK1).\n2. **Late exhaustion phenotype**: However, over time, these same T cells transition to a late exhaustion phenotype, characterized by high expression of genes involved in immune suppression and regulation (e.g., CX3CR1, LAG3).\n3. **Cardiotropic chemokines**: The authors identify cardiotropic chemokines (CCL4, CCL5, CCL4L2) that are highly expressed in the early cytotoxic phenotype of Temra CD8+ cells. These chemokines recruit immune cells to the heart.\n4. **Interactions with other immune cell types**: The authors perform ligand-receptor analysis and find interactions between Temra CD8+ cells and other immune cell types, such as macrophages and dendritic cells.\n\n**Discussion**\n\nThe authors propose that the early cytotoxic phenotype of Temra CD8+ cells is responsible for the inflammation and tissue damage observed in myocarditis. However, over time, these same T cells transition to a late exhaustion phenotype, which may contribute to the resolution of inflammation but also potentially lead to immune suppression and regulatory dysfunction.\n\n**Conclusion**\n\nThe study highlights the complex dynamics of the immune response in patients with myocarditis who have received ICI. The findings suggest that early cytotoxic programs become attenuated over time, while T-cell exhaustion markers increase. The authors propose that cardiotropic chemokines play a key role in recruiting immune cells to the heart and that interactions between Temra CD8+ cells and other immune cell types are critical for understanding the pathophysiology of myocarditis.\n\nOverall, this study provides new insights into the immune response in patients with myocarditis who have received ICI and highlights the importance of understanding the complex dynamics of T-cell activation and exhaustion."", ""dataset_name"": ""The FluPRINT database"", ""source_length"": 40529}",9,8,9,"{""completeness"": 9, ""conciseness"": 8, ""readability"": 9}",2025-12-02 20:10:23,"The FluPRINT represents fully integrated and normalized immunology measurements from eight clinical studies taken from 740 individuals undergoing influenza vaccination with inactivated or live attenuated seasonal influenza vaccines from 2007 to 2015 at the Stanford Human Immune Monitoring Center. The FluPRINT dataset contains information on more than 3,000 parameters measured using mass cytometry, flow cytometry, phosphorylation-specific cytometry, multiplex cytokine assays, clinical lab tests (hormones and complete blood count), serological profiling and virological tests. In the dataset, vaccine protection is measured using a hemagglutination inhibition (HAI) assay, and following FDA guidelines individuals are marked as high or low responders depending on the HAI antibody titers after vaccination.",0.2624434389140271,0.0365296803652968,0.1266968325791855,0.2080010920763015,0.1758922040462494,0.1949944198131561,0.2501784408092499,0.0,0.4527718126773834,0.1,0.3333333333333333,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.1758922040462494,0.7,40
Vanilla_AutoDDG-201024,CODE-15%: a large scale annotated dataset of 12-lead ECGs,,Vanilla_AutoDDG,"This dataset contains electrocardiogram (ECG) data from various patients, including their age, gender, and unique identifier codes. The ECG data is represented as text values indicating the presence or absence of certain conditions such as RBBB, LBBB, SB, ST, and AF. Each patient's data is associated with a specific exam ID, timey value, and trace file. The dataset can be used for various purposes in healthcare research, including analyzing ECG patterns, predicting age, and identifying patients at risk of certain conditions.",,8,6,7,"{""completeness"": 8, ""conciseness"": 6, ""readability"": 7}",2025-12-02 20:10:24,"A dataset of 12-lead ECGs with annotations. The dataset contains 345,779 exams from 233,770 patients. It was obtained through stratified sampling from the CODE dataset (15% of the patients). The data was collected by the Telehealth Network of Minas Gerais between 2010 and 2016.This repository contains the file `exams.csv` and the files `exams_part{i}.zip` for i = 0, 1, 2, ... 17.`exams.csv` contains the following columns:- ""exam_id"": ID used for identifying the exam- ""age"": patient age in years at the moment of the exam- ""is_male"": true if the patient is male- ""nn_predicted_age"": age predicted by a neural network (as described in the paper ""Deep neural network estimated electrocardiographic-age as a mortality predictor"")- ""1dAVb"": presence of 1st-degree AV block- ""RBBB"": presence of right bundle branch block- ""LBBB"": presence of left bundle branch block'' - ""SB"": presence of sinus bradycardia'' - ""AF"": presence of atrial fibrillation'' - ""ST"": presence of sinus tachycardia'' - ""patient_id"": ID used for identifying the patient'' - ""normal_ecg"": true if the automatic annotation system labels it as normal'' - ""death"": true if the patient dies in the follow-up period (only filled in the first exam per patient)'' - ""timey"": if the patient dies, this is time to death; otherwise, follow-up time (only in first exam per patient)'' - ""trace_file"": identifies the HDF5 file containing the corresponding ECG trace",0.2948717948717949,0.0387096774193548,0.1474358974358974,0.2185711711645126,-0.0362200029194355,0.0809507295489311,0.10692266608277956,0.0,0.5579983592033386,0.25,0.1111111111111111,0.0,0.0,0.3333333333333333,0.0,0.6,0.0,0.0,-0.0362200029194355,0.7,40
Augmented_AutoDDG-201030,CODE-15%: a large scale annotated dataset of 12-lead ECGs,V1_Revised,Augmented_AutoDDG,"This dataset contains electrocardiogram (ECG) data from patients with atrial fibrillation (AF), along with various demographic and clinical information. The key data profile includes exam_id, age, is_male, nn_predicted_age, patient_id, death, timey, normal_ecg, and trace_file, among others. The semantic profile reveals that the dataset represents unique identifiers, measurements, classifications, and temporal data. This dataset can be used for research on AF diagnosis and treatment using machine learning techniques, such as feature selection and classification. A study published in IEEE Transactions on Biomedical Engineering demonstrated an accuracy of 95.6% in classifying AF using a proposed method based on mutual information and support vector machines (SVM).","{""summary"": ""This is a research paper titled \""Feature Selection and Classification of Atrial Fibrillation Using Machine Learning Techniques\"" published in the IEEE Transactions on Biomedical Engineering journal.\n\nThe authors present a study on using machine learning techniques to classify atrial fibrillation (AF) from electrocardiogram (ECG) signals. They propose a feature selection method based on mutual information and a classification algorithm using support vector machines (SVM).\n\nHere's a summary of the paper:\n\n**Background**\n\nAtrial fibrillation is a common cardiac arrhythmia that can lead to stroke, heart failure, and other complications. Accurate diagnosis and treatment of AF are crucial for improving patient outcomes.\n\n**Methodology**\n\nThe authors used the PTB-XL dataset, which contains 21,000 ECG recordings with annotations. They extracted features from the ECG signals using a combination of time-domain and frequency-domain analysis.\n\n**Feature Selection**\n\nThe authors proposed a feature selection method based on mutual information (MI) to select the most relevant features for classification. MI measures the dependence between two variables, in this case, the ECG signal and the AF label.\n\n**Classification**\n\nThe authors used an SVM classifier with a radial basis function (RBF) kernel to classify the ECG signals as either AF or non-AF.\n\n**Results**\n\nThe authors reported an accuracy of 95.6% for classifying AF using their proposed method, which outperformed other machine learning algorithms such as random forest and gradient boosting.\n\n**Conclusion**\n\nThe authors concluded that their feature selection method based on mutual information and SVM classification can accurately classify atrial fibrillation from ECG signals. This study demonstrates the potential of machine learning techniques in improving the diagnosis and treatment of AF.\n\nOverall, this paper presents a novel approach to classifying AF using machine learning techniques and highlights the importance of accurate diagnosis and treatment of AF."", ""dataset_name"": ""CODE-15%: a large scale annotated dataset of 12-lead ECGs"", ""source_length"": 55673}",9,8,9,"{""completeness"": 9, ""conciseness"": 8, ""readability"": 9}",2025-12-02 20:10:30,"A dataset of 12-lead ECGs with annotations. The dataset contains 345,779 exams from 233,770 patients. It was obtained through stratified sampling from the CODE dataset (15% of the patients). The data was collected by the Telehealth Network of Minas Gerais between 2010 and 2016.This repository contains the file `exams.csv` and the files `exams_part{i}.zip` for i = 0, 1, 2, ... 17.`exams.csv` contains the following columns:- ""exam_id"": ID used for identifying the exam- ""age"": patient age in years at the moment of the exam- ""is_male"": true if the patient is male- ""nn_predicted_age"": age predicted by a neural network (as described in the paper ""Deep neural network estimated electrocardiographic-age as a mortality predictor"")- ""1dAVb"": presence of 1st-degree AV block- ""RBBB"": presence of right bundle branch block- ""LBBB"": presence of left bundle branch block'' - ""SB"": presence of sinus bradycardia'' - ""AF"": presence of atrial fibrillation'' - ""ST"": presence of sinus tachycardia'' - ""patient_id"": ID used for identifying the patient'' - ""normal_ecg"": true if the automatic annotation system labels it as normal'' - ""death"": true if the patient dies in the follow-up period (only filled in the first exam per patient)'' - ""timey"": if the patient dies, this is time to death; otherwise, follow-up time (only in first exam per patient)'' - ""trace_file"": identifies the HDF5 file containing the corresponding ECG trace",0.2639296187683284,0.0766961651917404,0.1290322580645161,0.2013105005025863,0.0182936694473028,0.106340117752552,0.09407540055612722,0.0,0.5381976366043091,0.175,0.1111111111111111,0.0,0.0,0.3333333333333333,0.375,0.6,0.0,1.0,0.0182936694473028,0.7,40
Augmented_AutoDDG-201037,CODE-15%: a large scale annotated dataset of 12-lead ECGs,V2_Hybrid,Augmented_AutoDDG,"This dataset contains electrocardiogram (ECG) data from various patients, including their exam IDs, ages, genders, predicted ages, and ECG readings. The data is collected for research purposes to analyze the effectiveness of deep learning techniques in ECG analysis, particularly for atrial fibrillation risk prediction and age estimation. The dataset includes 345779 unique exam IDs and 233770 patient IDs, with coverage spanning from 0 to 4275948.0 for exam IDs and 0 to 1746382.0 for patient IDs. The data is of various types, including integer, float, and text, and has a semantic profile that includes representation of person, gender, unique identifier/code, and temporal data. This dataset can be used for research in ECG analysis, deep learning techniques, and healthcare applications.","{""summary"": ""This is a research paper titled \""Deep Learning for Electrocardiogram Analysis\"" published in the IEEE Transactions on Biomedical Engineering journal. The authors present a comprehensive review of deep learning techniques applied to electrocardiogram (ECG) analysis, including atrial fibrillation risk prediction and age estimation from standard 12-lead ECGs.\n\nHere's a summary of the paper:\n\n**Introduction**\n\nThe authors introduce the importance of ECG analysis in clinical settings, particularly for diagnosing and predicting cardiovascular diseases. They highlight the limitations of traditional machine learning approaches and the need for more advanced techniques to improve accuracy and efficiency.\n\n**Deep Learning Techniques**\n\nThe authors review various deep learning architectures used for ECG analysis, including:\n\n1. Convolutional Neural Networks (CNNs)\n2. Recurrent Neural Networks (RNNs)\n3. Long Short-Term Memory (LSTM) networks\n4. Residual Neural Networks (ResNets)\n\nThey also discuss transfer learning and ensemble methods to improve model performance.\n\n**Applications**\n\nThe authors present several applications of deep learning techniques in ECG analysis:\n\n1. **Atrial Fibrillation Risk Prediction**: They review studies that used deep learning models to predict atrial fibrillation risk from ECG data.\n2. **Age Estimation**: They discuss the use of deep learning models for age estimation from standard 12-lead ECGs.\n\n**Results**\n\nThe authors present a summary of the results from various studies, including:\n\n1. Accuracy and sensitivity of deep learning models for atrial fibrillation risk prediction\n2. Performance of deep learning models for age estimation\n\n**Conclusion**\n\nThe authors conclude that deep learning techniques have shown promising results in ECG analysis, particularly for atrial fibrillation risk prediction and age estimation. They highlight the need for further research to improve model performance and interpretability.\n\n**References**\n\nThe paper includes a comprehensive list of references (31-35) related to ECG analysis and deep learning techniques.\n\nOverall, this paper provides a thorough review of the current state-of-the-art in deep learning applications for ECG analysis, highlighting the potential benefits and limitations of these approaches."", ""dataset_name"": ""CODE-15%: a large scale annotated dataset of 12-lead ECGs"", ""source_length"": 55673}",9,8,9,"{""completeness"": 9, ""conciseness"": 8, ""readability"": 9}",2025-12-02 20:10:37,"A dataset of 12-lead ECGs with annotations. The dataset contains 345,779 exams from 233,770 patients. It was obtained through stratified sampling from the CODE dataset (15% of the patients). The data was collected by the Telehealth Network of Minas Gerais between 2010 and 2016.This repository contains the file `exams.csv` and the files `exams_part{i}.zip` for i = 0, 1, 2, ... 17.`exams.csv` contains the following columns:- ""exam_id"": ID used for identifying the exam- ""age"": patient age in years at the moment of the exam- ""is_male"": true if the patient is male- ""nn_predicted_age"": age predicted by a neural network (as described in the paper ""Deep neural network estimated electrocardiographic-age as a mortality predictor"")- ""1dAVb"": presence of 1st-degree AV block- ""RBBB"": presence of right bundle branch block- ""LBBB"": presence of left bundle branch block'' - ""SB"": presence of sinus bradycardia'' - ""AF"": presence of atrial fibrillation'' - ""ST"": presence of sinus tachycardia'' - ""patient_id"": ID used for identifying the patient'' - ""normal_ecg"": true if the automatic annotation system labels it as normal'' - ""death"": true if the patient dies in the follow-up period (only filled in the first exam per patient)'' - ""timey"": if the patient dies, this is time to death; otherwise, follow-up time (only in first exam per patient)'' - ""trace_file"": identifies the HDF5 file containing the corresponding ECG trace",0.2905982905982906,0.0343839541547277,0.1424501424501424,0.1785290241241455,-0.0072540589608252,0.0819062888622284,0.1493825215411683,0.2,0.6047741174697876,0.2,0.13888888888888887,0.0,0.08333333333333333,0.3333333333333333,0.0,0.8,0.0,0.8,-0.0072540589608252,0.7,40
Vanilla_AutoDDG-201039,T1GDUJA: Glucose dataset of a patient with type 1 diabetes mellitus,,Vanilla_AutoDDG,"This dataset contains temporal data related to Type 1 Diabetes, with a focus on measurement values and time offsets. The dataset includes three columns: date, sgv, and utcOffset. The date column is of type text and represents the date in a specific format, with 41,701 unique values. The sgv column is an integer representing measurement values, with 309 unique values spanning from 0 to 257.0. The utcOffset column is also an integer, but it has only two unique values, indicating time offsets ranging from 0 to 120. This dataset can be used for various applications in Type 1 Diabetes research and analysis, such as identifying patterns in measurement values over time or exploring the relationship between measurement values and time offsets.",,6,8,9,"{""completeness"": 6, ""conciseness"": 8, ""readability"": 9}",2025-12-02 20:10:39,"The data are recorded in a single file entitled glucose_data.csv. This file establishes a Comma Separated Values (CSV) format. The following characteristics can be found in each row of the dataset: date: establishes the moment at which the glucose level was measured. The field is formatted as follows: ""YYYYY-MM-DD HH:MM:SS.ssss"" (UTC time zone). sgv: glucose levels measured in mg/dL. utcOffset: offset in minutes from the time zone where data were collected (Madrid GMT+1 and GMT+2). The dataset contains a total of 41702 samples with an average of 185 samples per day. A summary of the samples per day can be found in the attached image.",0.3025210084033613,0.0338983050847457,0.1596638655462184,0.0827755853533744,0.0547656193375587,0.0723452046513557,0.15990153656592443,0.0,0.5295978784561157,0.2,0.4166666666666667,1.0,0.25,0.0,0.0,1.0,0.01388888888888884,0.8571428571428571,0.0547656193375587,0.7,40
Augmented_AutoDDG-201046,T1GDUJA: Glucose dataset of a patient with type 1 diabetes mellitus,V1_Revised,Augmented_AutoDDG,"This dataset contains temporal data related to Type 1 Diabetes, specifically continuous glucose monitoring (CGM) readings from a diabetic patient. The data includes measurements of glucose levels (sgv), represented as integers, and corresponding timestamps in date format. Each record also includes the UTC offset, indicating the time zone difference. With 41701 unique dates and 309 unique sgv values, this dataset provides a comprehensive view of the patient's glucose fluctuations over time. The data is suitable for research on linguistic summarization of CGM data and can be used to develop expert-guided systems for analyzing and interpreting glucose monitoring data.","{""summary"": ""This appears to be a research paper on developing an expert-guided system for linguistic summarization of continuous glucose monitoring data. The authors present their methodology and results from testing the system on a dataset from a diabetic patient.\n\nHere's a summary of the main points:\n\n**Methodology:**\n\n1. **Data Preprocessing:** The raw data is preprocessed using a segmentation algorithm to identify patterns in the data.\n2. **Protoform Generation:** Protoforms are generated based on the segmented data, which represent specific events or patterns in the data.\n3. **Linguistic Summarization:** A linguistic summarization approach is used to generate natural language summaries from the protoforms.\n\n**Results:**\n\n1. **Experimental Results:** The system was tested on a dataset from a diabetic patient and produced 34 protoforms, which were then evaluated using a quality framework.\n2. **Evaluation Metrics:** The Degree of Usefulness (DoU) metric was used to evaluate the generated linguistic summaries, with an overall DoU of around 0.73.\n3. **Survey Results:** A survey was conducted among diabetic patients, their relatives, and healthcare professionals to assess the usability and effectiveness of the system.\n\n**Discussion and Limitations:**\n\n1. **Viability and Validity:** The results demonstrate the viability and validity of the developed proposal in its preliminary stage.\n2. **Limitations:** The study has some limitations, including the use of unlabeled data and the lack of causality understanding among survey respondents.\n\nSome potential questions or areas for further research based on this paper include:\n\n* How can the system be improved to better capture complex patterns in the data?\n* Can the system be adapted for use with other types of data, such as medical imaging or sensor data?\n* How can the system be integrated into clinical practice to improve patient outcomes?\n\nOverall, this paper presents a promising approach to linguistic summarization of continuous glucose monitoring data and highlights the potential benefits of using natural language processing techniques in healthcare."", ""dataset_name"": ""T1GDUJA: Glucose dataset of a patient with type 1 diabetes mellitus"", ""source_length"": 44708}",8,9,9,"{""completeness"": 8, ""conciseness"": 9, ""readability"": 9}",2025-12-02 20:10:46,"The data are recorded in a single file entitled glucose_data.csv. This file establishes a Comma Separated Values (CSV) format. The following characteristics can be found in each row of the dataset: date: establishes the moment at which the glucose level was measured. The field is formatted as follows: ""YYYYY-MM-DD HH:MM:SS.ssss"" (UTC time zone). sgv: glucose levels measured in mg/dL. utcOffset: offset in minutes from the time zone where data were collected (Madrid GMT+1 and GMT+2). The dataset contains a total of 41702 samples with an average of 185 samples per day. A summary of the samples per day can be found in the attached image.",0.3906976744186046,0.0657276995305164,0.1860465116279069,0.2101522535085678,0.1125875487923622,0.1628294885158538,0.2754341764251391,0.25,0.5634380578994751,0.325,0.4166666666666667,1.0,0.25,0.0,0.0,1.0,0.0,0.6666666666666666,0.1125875487923622,0.7,40
Augmented_AutoDDG-201053,T1GDUJA: Glucose dataset of a patient with type 1 diabetes mellitus,V2_Hybrid,Augmented_AutoDDG,"This dataset contains continuous glucose monitoring data for patients with Type 1 Diabetes. The data includes temporal information, with each row representing a measurement at a specific date and time. The measurements are represented by the 'sgv' column, which contains integer values ranging from 0 to 257.0. The 'utcOffset' column indicates the time zone offset in hours. This dataset can be used for various applications, such as developing predictive models or generating natural language summaries of glucose levels. It has been used in a research paper on an expert-guided system for generating summaries from continuous glucose monitoring data.","{""summary"": ""This appears to be a research paper on a system for generating natural language summaries from continuous glucose monitoring data. Here's a summary of the main points:\n\n**Introduction**\n\nThe authors propose an expert-guided system for generating natural language summaries from continuous glucose monitoring data. The system uses fuzzy logic and machine learning techniques to identify patterns in the data and generate protoforms, which are then evaluated based on their degree of truth (DoT).\n\n**Methodology**\n\n1. **Data Preprocessing**: The raw data is preprocessed using a segmentation algorithm to eliminate redundancies and preserve the fundamental shape of the time series.\n2. **Protoform Generation**: Protoforms are generated by applying fuzzy logic rules to identify patterns in the data, such as glucose level ranges, day intervals, and quantifiers (e.g., \""many\"" or \""most\"").\n3. **Evaluation**: The protoforms are evaluated based on their DoT, which is calculated using a formula that takes into account the membership degrees of the summarizer and quantifier.\n4. **Linguistic Summary Generation**: The protoforms with a high enough DoT (\u2265 0.7) are used to generate natural language summaries.\n\n**Experimental Results**\n\nThe authors tested their system on a dataset from a diabetic patient, which consisted of 226 days of continuous glucose monitoring data. They found that:\n\n* Around 89% of possible protoforms were activated.\n* Approximately 60% of protoforms were finally evaluated by the system.\n* The system was able to capture various data patterns at a time.\n\n**Evaluation**\n\nThe authors conducted an evaluation of their system using the Degree of Usefulness (DoU) metric, which measures the utility of the generated sentences from the viewpoint of the target users. They found that:\n\n* The overall DoU obtained from survey respondents was around 0.73.\n* The results for every group of target users were positive, with some presenting little variation.\n\n**Discussion and Limitations**\n\nThe authors discuss the limitations of their system, including:\n\n* The need for labeled data to improve causality understanding.\n* The potential for overfitting or underfitting in the machine learning models.\n* The requirement for expert guidance in setting up the system.\n\nOverall, this research paper presents a novel approach to generating natural language summaries from continuous glucose monitoring data using fuzzy logic and machine learning techniques. While there are limitations to the system, the results suggest that it has potential as a tool for healthcare professionals and patients with diabetes."", ""dataset_name"": ""T1GDUJA: Glucose dataset of a patient with type 1 diabetes mellitus"", ""source_length"": 44708}",8,9,9,"{""completeness"": 8, ""conciseness"": 9, ""readability"": 9}",2025-12-02 20:10:53,"The data are recorded in a single file entitled glucose_data.csv. This file establishes a Comma Separated Values (CSV) format. The following characteristics can be found in each row of the dataset: date: establishes the moment at which the glucose level was measured. The field is formatted as follows: ""YYYYY-MM-DD HH:MM:SS.ssss"" (UTC time zone). sgv: glucose levels measured in mg/dL. utcOffset: offset in minutes from the time zone where data were collected (Madrid GMT+1 and GMT+2). The dataset contains a total of 41702 samples with an average of 185 samples per day. A summary of the samples per day can be found in the attached image.",0.427906976744186,0.0938967136150234,0.1674418604651162,0.2227544039487838,0.1503587812185287,0.1887968778610229,0.24548842291037243,0.125,0.5323794484138489,0.325,0.4166666666666667,1.0,0.25,0.0,0.0,1.0,0.0,0.6666666666666666,0.1503587812185287,0.7,40
Vanilla_AutoDDG-201057,A comprehensive database of expert-curated occurrences for the genus Carex L. (Cyperaceae),,Vanilla_AutoDDG,"This dataset contains information about the distribution of Carex species, including their scientific names, original names, infraspecific information, authorities, revised names, and revised infraspecific information. The data is sourced from various sources, including literature references, and includes temporal and spatial data such as latitude, longitude, day, month, year, TDWG3 region, and TDWG1 name. The dataset also contains information about the collectors, institutions, and collections involved in the data gathering process. This dataset can be used for research on Carex species distribution, ecology, and conservation, as well as for understanding the taxonomy and classification of these plants.  The dataset has a total of 384067 records, with each record containing various attributes such as identifier, source, link, basis of record, scientific name, original name, infraspecific information, authority, revised name, revised infraspecific information, revised authority, synonym resolved, latitude, longitude, day, month, year, TDWG3 region, TDWG1 name, institution code, collection code, GBIF occurrence ID, main collector, other collectors, collector code, curation change, contributor, and incidences.  The semantic profile of the dataset columns reveals that it contains a mix of identifier, source, literature reference, scientific entity, plant, name entity, temporal entity, spatial data, location, organization, unique identifier, measurement, and person attributes. The dataset can be used for various purposes such as understanding the distribution patterns of Carex species, identifying areas with high conservation value, and informing management decisions related to these plants.  The dataset's coverage spans from 0 to 377764.0 for record ID, 0 to 3043013609.0 for GBIF occurrence ID, and includes various temporal data such as day (0-31), month (0-8), and year. The spatial data includes latitude (0-69.7339) and longitude (-131.457778 to 174.1583).",,9,6,8,"{""completeness"": 9, ""conciseness"": 6, ""readability"": 8}",2025-12-02 20:10:57,"This dataset collection comprises three .csv files with records for the genus Carex L. It includes a manually georeferenced dataset based on herbarium specimens and systematic literature (manually_georeferenced_dataset.csv), a raw dataset from GBIF and Tropicos after initial quality control (gbif_t_raw_dataset.csv), and an expert-curated version that corrects taxonomic misidentifications, removes duplicates, and improves georeferencing accuracy (ecd_dataset_v1.0.0.csv). The data may be used for bioclimatic and (macro-)evolutionary analyses that require highly accurate geographic information. We suggest utilizing the flagged occurrences to assess the reliability or native status of any new records added to GBIF after downloading our dataset (see the curation_change column).",0.2448979591836734,0.0256410256410256,0.1377551020408163,0.0078191608190536,0.0636481046676635,0.0388964563608169,0.1951638314598485,0.0,0.5664774775505066,0.225,0.6666666666666666,1.0,0.0,1.0,0.0,1.0,0.02631578947368418,1.0,0.0636481046676635,0.7,40
